Client Name,Service Name,Email,Category,Type,Item,
RetailWebsite80,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.33fk726aojgtxvm33upa">View</a>
RetailWebsite117,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.37cizmwenn2rkkd5llrq">View</a>
RetailWebsite73,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.nidfjpmojihr76qndvna">View</a>
RetailWebsite142,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.5zyedkknj6bichndvnza">View</a>
RetailWebsite35,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.myyjcidebruesstp35la">View</a>
RetailWebsite107,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.jxwtvx2jqnv5bksa3qaq">View</a>
RetailWebsite134,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.o2phf7xyrsyksxa3qc5a">View</a>
RetailWebsite131,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.hmcwnux6b742ec3cfeia">View</a>
RetailWebsite57,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.o7kvpzwhv36i322fxhvq">View</a>
RetailWebsite22,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.q5yvntkmep7lun6hrelq">View</a>
RetailWebsite113,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.exrnklebqnlkjw6d53ka">View</a>
RetailWebsite119,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.epzjfhzwnzsl3ybivqiq">View</a>
RetailWebsite124,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.mjh6wbshgdasu4e3k3oq">View</a>
RetailWebsite48,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.mp6r5ju2rko3dn7ppjkq">View</a>
RetailWebsite86,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.o5qv4osjp6syw7vstpva">View</a>
RetailWebsite88,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.uorpomcnur4d3vjeztbq">View</a>
RetailWebsite53,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ge5epkycjyc7755mxzxa">View</a>
RetailWebsite19,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.d6i3kzidfjqorjq4zipa">View</a>
RetailWebsite62,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.4qtlgb33dqhx53lz6g3q">View</a>
RetailWebsite51,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.27com6yzjv6ez7fmtqwq">View</a>
RetailWebsite46,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.torj47jpbxfpiuxgogka">View</a>
RetailWebsite50,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.k4pl3e6bacf7chmruukq">View</a>
RetailWebsite128,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.v2etpwea4yqj2cbb2vva">View</a>
RetailWebsite137,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.4oiedqqhloosmw45kt7q">View</a>
RetailWebsite149,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.kp3wnmkjcc3cmoqahnuq">View</a>
RetailWebsite79,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ybpa7wbbhgvvkii3j4yq">View</a>
RetailWebsite92,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.umlpfkbkdn3w43i5iara">View</a>
RetailWebsite95,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.cojgeq2dpgzzint6ilna">View</a>
RetailWebsite85,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.nzkjs5qo4p6q5lknd6dq">View</a>
CSCentral,CelioService,cs-devx@amazon.com,Customer Service,CSC/Texas,SellerCSWebsite AAA relationship requests,<a href="/relationships/amzn1.aaa.rel.wbecckc2e6ie2srgatwq">View</a>
RetailWebsite11,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.p4mwgt4dmyteikiytvna">View</a>
RetailWebsite101,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.3meiiw3hjqt3dthsoyiq">View</a>
RetailWebsite44,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.hq575miv7sjjafdkz4cq">View</a>
RetailWebsite103,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.djaa67bb4s6xdpfc4usa">View</a>
INGCDebugApp,CelioService,ingc-team@amazon.com,India,Gift Card,Autocut,<a href="/relationships/amzn1.aaa.rel.pq6xueus3gyyvavymt2a">View</a>
RetailWebsite13,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.xc7ictqklpyuvsdrucpq">View</a>
RetailWebsite17,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.luxdzwxlrv7iem4ljiuq">View</a>
RetailWebsite55,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.gehmztvzzu2gf2cvewta">View</a>
RetailWebsite21,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.idln4gguj2owujijynna">View</a>
RetailWebsite58,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.5a2qndrasengn6qdreva">View</a>
RetailWebsite77,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.s7ru6fqxwtanulnb4p3q">View</a>
RetailWebsite98,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.yrbu46ad63jkmkqm5e7a">View</a>
RetailWebsite33,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ufuwc332bjdygmyr5baa">View</a>
RetailWebsite81,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.5tr4blm6kt4om4n4rlna">View</a>
RetailWebsite97,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.6grv4vbucobtpiofe4fa">View</a>
RetailWebsite10,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.fhdfcyq3uxpnufbxtxkq">View</a>
RetailWebsite115,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.3otus25qyozsbrqyroxa">View</a>
RetailWebsite126,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.aviiwew3mtl2pjfgdkoq">View</a>
RetailWebsite27,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.zvblibqpj4oa2zsvaq3a">View</a>
CoronaTests,CelioService,ingc-team@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.shcddybl75etq7jqv5zq">View</a>
RetailWebsite118,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.vepjjgve67ozbbjstsba">View</a>
RetailWebsite70,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.4n6slfi2vd7qqtiva5pq">View</a>
RetailWebsite31,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.zuang2jvbt5bo4wl55na">View</a>
RetailWebsite36,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.mogigc3sdemhdkzwcx5q">View</a>
RetailWebsite74,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.66gmsdceiz7pla27dcoa">View</a>
RetailWebsite68,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.v3mqeon4kymrzh6lgj5q">View</a>
RetailWebsite6,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.gikftf4errmaik4zlyia">View</a>
RetailWebsite64,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.da7smax7gcdrk2qltkka">View</a>
