Client Name,Service Name,Email,Category,Type,Item,
CounterfeiterWork,INGCSharpPerformAsyncService,songd@amazon.com,Payments,Service,Picasso,<a href="/relationships/amzn1.aaa.rel.d3bqfiimkw5hcahvbhha">View</a>
TortugaGratificationService,INGCSharpService,a2i-cx-engage-gamebox@amazon.com,Amazon.in,Mobile App Engagement,Gratification,<a href="/relationships/amzn1.aaa.rel.uwsi26w3dcdyhft6euha">View</a>
RetailWebsite15,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.r54kz45krp4ioj7da7fq">View</a>
RetailWebsite98,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ludzzvsz7bel7txy2n3q">View</a>
RetailWebsite90,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.437f7nkzockmh22vghaa">View</a>
ApertureService,INGCSharpService,payments-portal-automata@amazon.com,Payments CX,APX,Framework,<a href="/relationships/amzn1.aaa.rel.hn5rhm4sj6djpqn65ceq">View</a>
RetailWebsite113,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ezrlc2clnvxgaoh7qdra">View</a>
RetailWebsite38,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.2mp6mszrn4rs2zajsvzq">View</a>
RetailWebsite99,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.742hwvs32p6thv5tvjqa">View</a>
RetailWebsite119,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.6ipsesx7nfoi72pg5s7q">View</a>
RetailWebsite45,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.mud3pth64rnpjxp3guoa">View</a>
RetailWebsite105,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.cdp5lfnu7o6ecuv6wlca">View</a>
SEALSPaymentPlanService,INGCSharpPerformAsyncService,sealsreshardingteam-2016@amazon.com,Payments,Service,SEALS,<a href="/relationships/amzn1.aaa.rel.xh2y4ojsx5ucr4blujka">View</a>
SableResponderContainer,INGCSharpService,sable-datapath-core@amazon.com,Datapath,Responders,General,<a href="/relationships/amzn1.aaa.rel.ljvdfet5qblc7uqggixq">View</a>
RetailWebsite118,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.o4xlttzxqalem6meoffq">View</a>
SVBHydra,INGCSharpService,indiasva@amazon.com,Payments,Amazon Pay Balance,Bolting-Services,<a href="/relationships/amzn1.aaa.rel.iz3sxjd5cflq2ksnxuiq">View</a>
RetailWebsite12,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.r2jukhkguju6hjwevf5a">View</a>
RetailWebsite138,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.cftgix3qtceqauj3ubga">View</a>
RetailWebsite82,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.2z65ilgltj2cmsyf6a3q">View</a>
CygnusTests,INGCSharpService,ingc-team@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.dsnybzzfrkftbbtsgknq">View</a>
RetailWebsite127,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.nx2iyjxhlthdd6hnbpaa">View</a>
CustomerAccountManager,INGCSharpService,cs-customer-data@amazon.com,Customer Service,CustomerAccountManager,Infrastructure - AutoCut,<a href="/relationships/amzn1.aaa.rel.22622hdlewphjzyxxx6a">View</a>
RetailWebsite74,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.3yfh4glysx3rwfbls4ma">View</a>
RetailWebsite70,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.jb3s34szfh7zkcqy3wra">View</a>
PromotionAggregatorService,INGCSharpService,viyer@amazon.com,Company-wide Services,Services,INRewards,<a href="/relationships/amzn1.aaa.rel.nxlfqylnldnihgcs76dq">View</a>
INGCTests,INGCSharpService,indiapaymentsqa@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.x7a4r6tw6touevnirmcq">View</a>
RetailWebsite77,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.rh4zkxxzodatbqawob4a">View</a>
RetailWebsite134,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.6c3it2fuubrk4pyfhzxq">View</a>
RetailWebsite40,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.x7tci6v2mpu7cubpftga">View</a>
RetailWebsite84,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.yqocibgxir7mlf5yfmtq">View</a>
INGCFront,INGCSharpService,ingc-team@amazon.com,India,Gift Card,Services,<a href="/relationships/amzn1.aaa.rel.de455brvl6pnoiootbca">View</a>
RetailWebsite48,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.q35pyfmkp4jkxo6qr7ha">View</a>
GCSharpService,INGCSharpProxyService_GetCustomerBalance,gc-dev-core@amazon.com,Payments,Service,GCSharp,<a href="/relationships/amzn1.aaa.rel.mt6i4mmgxrlhisbyusza">View</a>
RetailWebsite63,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.6sp6b34yxuf4lybopaoa">View</a>
RetailWebsite88,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.5w6yngxo5m34pa2mq2sa">View</a>
RetailWebsite22,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.dlzoffl23of3mzpr2wha">View</a>
HerdEngine,INGCSharpService,herd-internal@amazon.com,Software,Herd,Service,<a href="/relationships/amzn1.aaa.rel.p4e3d73q4lw6uapl5swa">View</a>
PPQA,INGCSharpService,payment-plans-qa@amazon.com,Payments,Service,PaymentPlanService,<a href="/relationships/amzn1.aaa.rel.ogvdzg3greld6t7uj55q">View</a>
RetailWebsite73,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.e2vkgybfwtyjibnwigya">View</a>
RetailWebsite114,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.kc2uhij732uidagyk6ya">View</a>
RetailWebsite122,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.hldrrv2jndh7epnrmb2q">View</a>
RetailWebsite7,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.4ycyvxb24tb5blmg4gxq">View</a>
RetailWebsite93,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.daimmg3ss7ixwxbdvvna">View</a>
RetailWebsite72,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.blvmxxalihyywuz43yjq">View</a>
RetailWebsite13,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.tmtxc2mkjqjydj3o4q3q">View</a>
INPayQABindle,INGCSharpService,arpim@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.tlsrp7zxiebpkzamv26q">View</a>
DigitalTest-AAA,INGCSharpService,digital-commerce-qa@amazon.com,Digital Media Technology,Digital Platform,QA,<a href="/relationships/amzn1.aaa.rel.t3krmr72j5v27ccn7c6a">View</a>
BenefitExecutionService,INGCSharpService,in-race-affordability-dev@amazon.com,Amazon.in,RACE,GC Cashback,<a href="/relationships/amzn1.aaa.rel.q4wnkycekv5fuhoxvrwa">View</a>
APBRouterService,INGCSharpService,ingc-team@amazon.com,India,Gift Card,DevTeam,<a href="/relationships/amzn1.aaa.rel.t2pmjlwfw255jguzpmna">View</a>
RetailWebsite35,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.sp57p5h7u4d3x5l6uvla">View</a>
DemoNitishService,INGCSharpService,nitishw@amazon.com,India,Payments,DevTeam,<a href="/relationships/amzn1.aaa.rel.2dvb5yxyqg6tr5akx4oa">View</a>
RetailWebsite50,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.whnkqgolbndoivgvo32a">View</a>
RetailWebsite28,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.wquuvblbrfff5h65sjdq">View</a>
CoralDiverWebsite,INGCSharpService,service-frameworks-team@amazon.com,IT Dev,Software Platform,Coral,<a href="/relationships/amzn1.aaa.rel.dcou7zmvwyoemazqjw3q">View</a>
RetailWebsite126,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.twy4jqlywx6eaqlhpkyq">View</a>
RetailWebsite128,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.cgywmn2xm5dcby57iffa">View</a>
SVBHydra,INGCSharpService_GetCustomerBalance,indiasva@amazon.com,Payments,Amazon Pay Balance,Bolting-Services,<a href="/relationships/amzn1.aaa.rel.yfbqulw5tpb2o4cque2q">View</a>
RetailWebsite125,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.c76oxx772tzj6mshuq4q">View</a>
RetailWebsite86,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.wsidyzwlm2ctr4ejdm6a">View</a>
RetailWebsite85,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ey5msge2zv7c2orsum3a">View</a>
RetailWebsite31,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.r5625zvealiddctfaz3q">View</a>
RetailWebsite140,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.mcgq3veh2wwca3gm37xa">View</a>
RetailWebsite144,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.p5hpirltqpsg33m3nmxq">View</a>
RetailWebsite23,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.zf4lzpzwa6d2rt4ggqua">View</a>
Helios,INGCSharpService,ingc-team@amazon.com,India,Gift Card,DevTeam,<a href="/relationships/amzn1.aaa.rel.eiksi5i7ihttsb5vzipq">View</a>
RetailWebsite42,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.d37xtyl5mopntho5skfq">View</a>
RetailWebsite5,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.mqcaeezolbeu5voidtja">View</a>
INGCSharpService,INGCSharp_GetCustomerBalance,ingc-team@amazon.com,India,Gift Card,Autocut,<a href="/relationships/amzn1.aaa.rel.hvay4lkz7sxlxztpi6sa">View</a>
INGCSharpService,INGCSharpService,ingc-team@amazon.com,India,Gift Card,Autocut,<a href="/relationships/amzn1.aaa.rel.p3mjm3ynm44m2moibyuq">View</a>
INGCSharpService,INGCSharpPerformAsyncService,ingc-team@amazon.com,India,Gift Card,Autocut,<a href="/relationships/amzn1.aaa.rel.zzy6txjc43btyuusiqlq">View</a>
